1,Pencil
1,Design_Book
1,Whitener
1,Gel_Pen
1,Scissors
1,Stapler
1,Punching_Machine
1,Notebook
2,Design_Book
2,Gel_Pen
2,Scissors
2,Stapler
2,File
2,Pine_Remover
3,Pencil
3,Gel_Pen
3,Ball_Pen
3,Scissors
3,Stapler
3,Punching_Machine
3,Box_File
3,File
3,Pine_Remover
3,Pin_Box
4,Design_Book
4,Whitener
4,Gel_Pen
4,Scissors
4,File
4,Notebook
5,Pencil
5,Gel_Pen
5,Scissors
5,Stapler
5,Punching_Machine
5,Box_File
5,Pine_Remover
5,Pin_Box
6,Gel_Pen
6,Notebook
7,Pencil
7,Design_Book
7,Whitener
7,Gel_Pen
7,Scissors
7,Stapler
7,Punching_Machine
7,Box_File
7,File
7,Pine_Remover
8,Design_Book
8,Whitener
8,Scissors
8,Punching_Machine
8,Box_File
8,Pine_Remover
9,Gel_Pen
9,File
9,Pin_Box
10,Bag
10,Pencil
10,Design_Book
10,Whitener
10,Punching_Machine
10,Box_File
11,Design_Book
11,Scissors
11,Pine_Remover
11,Pin_Box
11,Notebook
12,Design_Book
12,Whitener
12,Gel_Pen
12,Scissors
12,Punching_Machine
12,Box_File
12,File
13,Pencil
13,Gel_Pen
13,Stapler
13,Punching_Machine
13,Box_File
13,Pine_Remover
14,Pencil
14,Design_Book
14,Whitener
14,Gel_Pen
14,Scissors
14,Stapler
14,Punching_Machine
14,Box_File
14,File
14,Pine_Remover
14,Pin_Box
15,Pencil
15,Gel_Pen
15,Scissors
15,Stapler
15,Punching_Machine
15,Box_File
15,File
15,Pine_Remover
15,Pin_Box
15,Notebook
16,Design_Book
16,Whitener
16,Gel_Pen
16,Scissors
16,Stapler
16,Punching_Machine
16,Box_File
16,File
16,Pine_Remover
16,Pin_Box
16,Notebook
17,Bag
17,Pencil
17,Design_Book
17,Whitener
17,Gel_Pen
17,Scissors
17,Stapler
17,Punching_Machine
17,Box_File
17,Notebook
18,Gel_Pen
18,File
18,Pine_Remover
18,Pin_Box
18,Notebook
19,Pencil
19,Design_Book
