Date,NSA Value,SA Value
31-01-1975,24.73989332,24.68781517
28-02-1975,25.2668252,25.20048195
31-03-1975,25.76566666,25.63300248
30-04-1975,26.21272439,26.00998683
31-05-1975,26.62808106,26.35059173
30-06-1975,27.03452785,26.69791161
31-07-1975,27.38278396,27.02916745
31-08-1975,27.60504101,27.25994765
30-09-1975,27.69941625,27.42952225
31-10-1975,27.71262524,27.50282173
30-11-1975,27.68738584,27.55604819
31-12-1975,27.68182334,27.61517915
31-01-1976,27.71360401,27.65526612
29-02-1976,27.7852149,27.71225911
31-03-1976,27.96216736,27.8181937
30-04-1976,28.23059958,28.01225513
31-05-1976,28.56525044,28.26757401
30-06-1976,28.98094816,28.62009638
31-07-1976,29.43067143,29.05060887
31-08-1976,29.86114905,29.48785187
30-09-1976,30.26471276,29.96982331
31-10-1976,30.68795558,30.45562677
30-11-1976,31.19491049,31.04693456
31-12-1976,31.74565414,31.66922627
31-01-1977,32.20567271,32.13787889
28-02-1977,32.51233475,32.42696697
31-03-1977,32.76137026,32.59268609
30-04-1977,33.13052954,32.8742875
31-05-1977,33.7417528,33.3901324
30-06-1977,34.52817117,34.09824898
31-07-1977,35.30755557,34.85159996
31-08-1977,35.97682248,35.52707263
30-09-1977,36.49285136,36.13727703
31-10-1977,36.84406965,36.5651348
30-11-1977,37.12137195,36.94528329
31-12-1977,37.45442956,37.36425779
31-01-1978,37.90848762,37.82868926
28-02-1978,38.45621089,38.35523627
31-03-1978,39.07245612,38.87127696
30-04-1978,39.788934,39.48119373
31-05-1978,40.55464381,40.13202676
30-06-1978,41.29583283,40.78164414
31-07-1978,41.9754774,41.43341344
31-08-1978,42.56618198,42.03405789
30-09-1978,43.06213118,42.64254794
31-10-1978,43.53342499,43.20384721
30-11-1978,44.02249966,43.81367493
31-12-1978,44.47968497,44.37259977
31-01-1979,44.83707497,44.74269174
28-02-1979,45.05330715,44.93501039
31-03-1979,45.19349534,44.96079969
30-04-1979,45.39997983,45.04884196
31-05-1979,45.79732426,45.32007363
30-06-1979,46.3125745,45.73592071
31-07-1979,46.81405327,46.20950467
31-08-1979,47.30153916,46.71021799
30-09-1979,47.73367022,47.26856901
31-10-1979,47.98646962,47.62317918
30-11-1979,48.03712596,47.80925745
31-12-1979,48.01147946,47.8958916
31-01-1980,48.00090794,47.89986466
29-02-1980,48.0450688,47.9189166
31-03-1980,48.19216444,47.94402905
30-04-1980,48.42288782,48.04836976
31-05-1980,48.7297463,48.22193706
30-06-1980,49.13220609,48.52044397
31-07-1980,49.52985706,48.89023716
31-08-1980,49.76347965,49.14138142
30-09-1980,49.75181987,49.26705451
31-10-1980,49.4973083,49.12257989
30-11-1980,49.08065676,48.84783819
31-12-1980,48.66343178,48.54627429
31-01-1981,48.3804509,48.2786088
28-02-1981,48.20969644,48.08311202
31-03-1981,48.08126899,47.8337046
30-04-1981,47.92776356,47.55707495
31-05-1981,47.66268418,47.16599481
30-06-1981,47.22591162,46.6378856
31-07-1981,46.6442785,46.04192234
31-08-1981,46.0572908,45.481524
30-09-1981,45.59209438,45.14786005
31-10-1981,45.33254454,44.98934621
30-11-1981,45.36027682,45.14510622
31-12-1981,45.67918603,45.56921306
31-01-1982,46.17396405,46.07676655
28-02-1982,46.72254951,46.59986987
31-03-1982,47.28645466,47.04298263
30-04-1982,47.87997025,47.50965134
31-05-1982,48.48991287,47.98460299
30-06-1982,49.07040557,48.45941306
31-07-1982,49.61446661,48.97375402
31-08-1982,50.19152646,49.56407713
30-09-1982,50.84618194,50.3507534
31-10-1982,51.52443461,51.13435931
30-11-1982,52.15236254,51.90497301
31-12-1982,52.6573677,52.53059478
31-01-1983,52.96897615,52.85747506
28-02-1983,53.10556474,52.96612529
31-03-1983,53.16053453,52.88681771
30-04-1983,53.20163765,52.79015922
31-05-1983,53.27357348,52.71841345
